"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","14,817","70.06%","1,228","56.83%","16,045","68.83%"
"White","6,171","29.18%","912","42.20%","7,083","30.38%"
"Hispanic","110","0.52%","9","0.42%","119","0.51%"
"Native American","28","0.13%","5","0.23%","33","0.14%"
"Asian","23","0.11%","7 0","0.32%","30","0.13%"
"Data Unavailable","1","0.00%","","0.00%","1","0.00%"
"TOTAL","21,150","100.00%","2,161","100.00%","23,311","100.00%"
