"RACE","MALE","","% OF TOTAL MALE POPULATION","","","","FEMALE","","","% OF TOTAL FEMALE POPULATION","","","","NO. OFFENDERS","","","","% OF TOTAL OFFENDERS"
"Black","12,359","","65.02%","","","","644","","","38.68%","","","","13,003","","","","62.90%"
"White","6,381","","33.57%","","","","997","","","59.88%","","","","7,378","","","","35.69%"
"Hispanic","194","","1.02%","","","","15","","",".90%","","","","209","","","","1.01%"
"Native American","26","",".14%","","","","4","","",".24%","","","","30","","","",".15%"
"Asian","43","",".23%","","","","2","","",".12%","","","","45","","","",".22%"
"Data Unavailable","6","",".03%","","","","3","","",".18%","","","","9","","","",".04%"
"TOTAL","19,009","","100.00%","","","","1,665","","","100.00%","","","","20,674","","","","100.00%"
