"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
15,859","","67.05%","","","","998","","","42.16%","","","","16,857","","","","64.78%"
"White
7,499","","31.70%","","","","1,350","","","57.03%","","","","8,849","","","","34.01%"
"Hispanic
205","",".87%","","","","14","","",".59%","","","","219","","","",".84%"
"Native American
31","",".13%","","","","","","",".13%","","","","34","","","",".13%"
"Asian
51","",".22%","","","","","","",".08%","","","","53","","","",".20%"
"Data Unavailable
9","",".04%","","","","0","","",".00%","","","","9","","","",".03%"
"TOTAL
23,654","","100.00%","","","","2,367","","","100.00%","","","","26,021","","","","100.00%"
