"BY RACE/SEX AND LOCATION","","","","",""
"% OF","","","% OF","","% OF"
"TOTAL MALE","","","TOTAL FEMALE","NO. OF","TOTAL"
"RACE
MALE
POPULATION","","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
12,342
64.41%","","622","36.35%","12,964","62.11%"
"White
6,552
34.19%","","1,066","62.30%","7,618","36.50%"
"Hispanic
193
1.01%","","14",".82%","207",".99%"
"Native American
28
.15%","","4",".23%","32",".15%"
"Asian
39
.20%","","4",".23%","43",".21%"
"Data Unavailable
8
.04%","","1",".06%","9",".04%"
"TOTAL
19,162
100.00%","","1,711","100.00%","20,873","00
100.00%"
