
"RACE","MALE","","% OF TOTAL MALE POPULATION","","","FEMALE","","% OF TOTAL FEMALE POPULATION","","","NO. OFFENDERS","","","% OF TOTAL OFFENDERS","","",""
"Black","15,694","","68.78%","","","1,226","","49.68%","","","16,920","","","66.91%","","",""
"White","6,855","","30.04%","","","1,219","","49.39%","","","8,074","","","31.93%","","",""
"Hispanic","182","","0.80%","","","5","","0.61%","","","197","","0.78%","","","",""
"Native American","25","","0.11%","","","11","","0.04%","","","26","","0.10%","","","",""
"Asian","35","","0.15%","","","","","0.12%","","","38","","0.15%","","","",""
"Data Unavailable","28","","0.12%","","","3 4","","0.16%","","","32","","0.13%","","","",""
"TOTAL","22,819","","100.00%","","","2,468","","100.00%","","","25,287","","","100.00%","","",""
