"RACE","MALE","","% OF TOTAL MALE POPULATION","","","FEMALE","","% OF TOTAL FEMALE POPULATION","","","NO. OFFENDERS","","","% OF TOTAL OFFENDERS","","",""
"Black","16,251","","69.00%","","","1,265","","49.49%","","","17,516","","","67.09%","","",""
"White","6,995","","29.70%","","","1,261","","49.33%","","","8,256","","","31.62%","","",""
"Hispanic","226","","0.96%","","","31
5","","0.59%","","","241","","0.92%","","","",""
"Native American","18","","0.08%","","","","","0.12%","","","21","","0.08%","","","",""
"Asian","41","","0.17%","","","6 6","","0.23%","","","47","","0.18%","","","",""
"Data Unavailable","20","","0.08%","","","","","0.23%","","","26","","0.10%","","","",""
"TOTAL","23,551","","100.00%","","","2,556","","100.00%","","","26,107","","","100.00%","","",""
