"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
13,883","","67.46%","","","","715","","","42.94%","","","","14,598","","","","65.62%"
"White
6,460","","31.39%","","","","939","","","56.40%","","","","7,399","","","","33.26%"
"Hispanic
166","",".81%","","","","7","","",".42%","","","","173","","","",".78%"
"Native American
21","",".10%","","","","","","",".24%","","","","25","","","",".11%"
"Asian
38","",".18%","","","","4 0","","",".00%","","","","38","","","",".17%"
"Data Unavailable
12","",".06%","","","","0","","",".00%","","","","12","","","",".05%"
"TOTAL
20,580","","100.00%","","","","1,665","","","100.00%","","","","22,245","","","","100.00%"
