"RACE","MALE","","% OF TOTAL MALE POPULATION","","","","FEMALE","","","% OF TOTAL FEMALE POPULATION","","","","NO. OFFENDERS","","","","% OF TOTAL OFFENDERS"
"Black","12,231","","64.71%","","","","644","","","37.77%","","","","12,875","","","","62.48%"
"White","6,405","","33.89%","","","","1,035","","","60.70%","","","","7,440","","","","36.11%"
"Hispanic","187","",".99%","","","","17","","","1.00%","","","","204","","","",".99%"
"Native American","26","",".14%","","","","3","","",".18%","","","","29","","","",".14%"
"Asian","45","",".24%","","","","2","","",".12%","","","","47","","","",".23%"
"Data Unavailable","6","",".03%","","","","4","","",".23%","","","","10","","","",".05%"
"TOTAL","18,900","","100.00%","","","","1,705","","","100.00%","","","","20,605","","","","100.00%"
