"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
15,403","","67.09%","","","","913","","","42.35%","","","","16,316","","","","64.97%"
"White
7,244","","31.55%","","","","1,218","","","56.49%","","","","8,462","","","","33.69%"
"Hispanic
221","",".96%","","","","16","","",".74%","","","","237","","","",".94%"
"Native American
37","",".16%","","","","","","",".28%","","","","43","","","",".17%"
"Asian
47","",".20%","","","","","","",".05%","","","","48","","","",".19%"
"Data Unavailable
6","",".03%","","","","2","","",".09%","","","","8","","","",".03%"
"TOTAL
22,958","","100.00%","","","","2,156","","","100.00%","","","","25,114","","","","100.00%"
