"","INMATE CUSTODY POPULATION (continued)","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
13,754","","67.84%","","","","680","","","41.77%","","","","14,434","","","","65.91%"
"White
6,311","","31.13%","","","","933","","","57.31%","","","","7,244","","","","33.08%"
"Hispanic
157","",".77%","","","","11","","",".68%","","","","168","","","",".77%"
"Native American
16","",".08%","","","","","","",".12%","","","","18","","","",".08%"
"Asian
29","",".14%","","","","2 2","","",".12%","","","","31","","","",".14%"
"Data Unavailable
6","",".03%","","","","0","","",".00%","","","","6","","","",".03%"
"TOTAL
20,273","","100.00%","","","","1,628","","","100.00%","","","","21,901","","","","100.00%"
