"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
15,978","","67.20%","","","","987","","","42.88%","","","","16,965","","","","65.04%"
"White
7,495","","31.52%","","","","1,290","","","56.04%","","","","8,785","","","","33.68%"
"Hispanic
219","",".92%","","","","17","","",".74%","","","","236","","","",".90%"
"Native American
35","",".15%","","","","","","",".26%","","","","41","","","",".16%"
"Asian
44","",".19%","","","","","","",".04%","","","","45","","","",".17%"
"Data Unavailable
5","",".02%","","","","1","","",".04%","","","","10","","","",".04%"
"TOTAL
23,776","","100.00%","","","","2,302","","","100.00%","","","","26,082","","","","100.00%"
