"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","14,732","70.03%","1,215","56.49%","15,947","68.77%"
"White","6,149","29.23%","916","42.58%","7,065","30.47%"
"Hispanic","106","0.50%","9","0.42%","115","0.50%"
"Native American","27","0.13%","4","0.19%","31","0.13%"
"Asian","22","0.10%","","0.33%","29","0.13%"
"Data Unavailable","1","0.00%","7 0","0.00%","1","0.00%"
"TOTAL","21,037","100.00%","2,151","100.00%","23,188","100.00%"
