"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
16,178","","67.16%","","","","1,022","","","42.67%","","","","17,200","","","","64.95%"
"White
7,613","","31.60%","","","","1,351","","","56.41%","","","","8,964","","","","33.85%"
"Hispanic
214","",".89%","","","","13","","",".54%","","","","227","","","",".86%"
"Native American
25","",".10%","","","","","","",".21%","","","","30","","","",".11%"
"Asian
47","",".20%","","","","","","",".08%","","","","49","","","",".19%"
"Data Unavailable
11","",".05%","","","","2","","",".08%","","","","10","","","",".04%"
"TOTAL
24,088","","100.00%","","","","2,395","","","100.00%","","","","26,480","","","","100.00%"
