"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
16,101","","66.95%","","","","1,021","","","42.24%","","","","17,122","","","","64.69%"
"White
7,643","","31.78%","","","","1,376","","","56.93%","","","","9,019","","","","34.08%"
"Hispanic
215","",".89%","","","","13","","",".54%","","","","228","","","",".86%"
"Native American
22","",".09%","","","","","","",".21%","","","","27","","","",".10%"
"Asian
54","",".22%","","","","","","",".08%","","","","56","","","",".21%"
"Data Unavailable
15","",".06%","","","","0","","",".00%","","","","15","","","",".06%"
"TOTAL
24,050","","100.00%","","","","2,417","","","100.00%","","","","26,467","","","","100.00%"
