"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
13,965","","67.57%","","","","722","","","43.00%","","","","14,687","","","","65.73%"
"White
6,475","","31.33%","","","","946","","","56.34%","","","","7,421","","","","33.21%"
"Hispanic
159","",".77%","","","","7","","",".42%","","","","166","","","",".74%"
"Native American
19","",".09%","","","","","","",".24%","","","","23","","","",".10%"
"Asian
43","",".21%","","","","4 0","","",".00%","","","","43","","","",".19%"
"Data Unavailable
5","",".02%","","","","0","","",".00%","","","","5","","","",".02%"
"TOTAL
20,666","","100.00%","","","","1,679","","","100.00%","","","","22,345","","","","100.00%"
