"Offense","Average Age at Time of Offense"
"Child Molestation","43.7"
"Child Pornography","47.4"
"Entice Child for Indecent Purposes","43.7"
"Exploitation of Child","38.7"
"Failure to Register as Sex Offender","41.8"
"Fondling","38.5"
"Fondling a Child","35.6"
"Forcible Sexual Intercourse","45.0"
"Gratification of Lust","39.1"
"Incest","25.3"
"Kidnap Minor","26.4"
"Peeping Tom","29.7"
"Rape","40.5"
"Sexual Abuse-Vulnerable Adult","55.3"
"Sexual Battery","34.5"
"Statutory Rape","28.8"
"Unlawful Touching of Child","41.2"
"Video Voyeurism - Photographing or 
Filming","32.3"
