"Offense","Average Sentence Length in Years"
"Aggravated Assault","6.1"
"Burglary","5.9"
"Homicide","50.0"
"Manslaughter","19.2"
"Property","4.1"
"Possession of Drugs","4.6"
"Possession of Drugs with Intent","6.0"
"Robbery","17.1"
"Sale of Drugs","6.8"
"Sex Offense","7.9"
"Violent","9.6"
