"MALE OFFENSES","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"Aggravated Assault","24","4","0","0","28"
"Burglary","53","22","0","0","75"
"Homicide","11","5","0","0","16"
"Manslaughter","4","4","0","0","8"
"Property","151","108","2","3","264"
"Possession of Drugs","60","39","1","0","100"
"Possession of Drugs with Intent","17","18","1","0","36"
"Robbery","11","7","0","0","18"
"Sale of Drugs","71","35","0","0","106"
"Sex Offense","29","38","1","1","69"
"Violent","7","12","0","0","19"
"TOTAL","438","292","5","4","739"
