"Offense","Average Sentence Length in Years"
"Aggravated Assault","7.5"
"Burglary","5.4"
"Homicide","50.0"
"Manslaughter","17.3"
"Possession of Drugs","4.8"
"Possession/Drugs with Intent","6.5"
"Property","3.9"
"Robbery","9.6"
"Sale of Drugs","7.8"
"Violent","7.8"
