"AGE","Male","Female","Total","Percent"
"18 - 19","27","3","30","1.0%"
"20-29","947","119","1,066","35.8%"
"30-39","1,000","128","1,128","37.9%"
"40-49","421","82","503","16.9%"
"50-59","170","34","204","6.9%"
"60-69","31","6","37","1.2%"
"70 - 79","4","1","5","0.2%"
"80+","1","0","1","0.0%"
