"OFFENSES","MALES","FEMALES","TOTAL","PERCENT"
"Possession of Drugs","1372","193","1565","52.6%"
"Sale of Drugs","1229","180","1409","47.4%"
"TOTAL","2601","373","2974","100.0%"
