"Offense","Average Age at Time of Offense"
"Aggravated Assault","31.7"
"Burglary","28.3"
"Homicide","30.5"
"Manslaughter","29.8"
"Possession of Drugs","33.6"
"Possession/Drugs with Intent","32.6"
"Property","34.3"
"Robbery","27.0"
"Sale of Drugs","32.9"
"Sex Offense","36.4"
"Violent","31.5"
