"RACE","Male","Female","Total","Percent"
"White","781","247","1,028","34.6%"
"Black","1,792","124","1,916","64.4%"
"Hispanic","16","1","17","0.6%"
"Other","10","1","11","0.4%"
"Unknown Race","2","0","2","0.1%"
