"AGE","Male","Female","Total","Percent"
"17","2","0","2","0.5%"
"18 - 19","15","0","15","3.5%"
"20-29","131","5","136","31.4%"
"30-39","124","5","129","29.8%"
"40-49","79","2","81","18.7%"
"50-59","47","0","47","10.9%"
"60-69","16","1","17","3.9%"
"70 - 79","6","0","6","1.4%"
