"Violation","Feb","Mar","Apr","May","Jun","Total","Percent"
"Escape - Return","1","0","1","1","1","9","0.1%"
"Federal Inmate","1","0","0","0","1","2","0.0%"
"New Prisoner","413","525","363","364","388","4642","46.2%"
"Non-Adjudicated RID","16","12","20","15","12","154","1.5%"
"Probation Revoked","291","304","243","236","293","3085","30.7%"
"Return - ERS","36","40","42","55","44","488","4.9%"
"Return - House Arrest","33","43","27","51","46","430","4.3%"
"Return - Medical","1","0","0","1","0","2","0.0%"
"Return Parole","107","88","85","117","84","1208","12.0%"
"Warrant-Other Custody","4","4","2","3","1","33","0.3%"
"TOTAL","903","1016","783","843","870","10053","100.0%"
