"FEMALE","","","","",""
"OFFENSES","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"Burglary","59","122","0","0","181"
"Homicide/Manslaughter","142","81","1","1","225"
"Property","258","348","5","2","613"
"Possession of Drugs","105","357","3","0","465"
"Robbery","80","40","0","1","121"
"Sale of Drugs","148","160","0","1","309"
"Sex Offense","7","35","0","0","42"
"Violent","94","101","1","0","196"
"TOTAL","893","1,244","10","5","2,152"
