"FEMALE","BLACK","WHITE","HISPANIC","OTHER","UNKNOWN","TOTAL"
"Min. Community","174","338","1","0","0","513"
"Min. Non-Community","170","243","2","2","0","417"
"Medium","364","389","3","2","0","758"
"Close","18","7","0","0","0","25"
"Death Row","0","2","0","0","0","2"
"*Unclassified","167","265","4","1","0","437"
"TOTAL","893","1,244","10","5","0","2,152"
"PERCENT","41.50","57.81",".46",".23",".00","100.00"
