"CLASS","MALE","%"
"Min. Community","3,471","15.66"
"Min. Non-Community","3,611","16.29"
"Medium","10,863","49.02"
"Close","2,480","11.19"
"Death Row","56",".25"
"*Unclassified","1,681","7.59"
"TOTAL","22,162","100.00"
