"CLASS","FEMALE","%"
"Min. Community","513","23.84"
"Min. Non-Community","417","19.38"
"Medium","758","35.22"
"Close","25","1.16"
"Death Row","2",".09"
"*Unclassified","437","20.31"
"TOTAL","2,152","100.00"
