"MALE","BLACK","WHITE","HISPANIC","OTHER","UNKNOWN","TOTAL"
"15","2","1","0","0","0","3"
"16","10","1","0","0","0","11"
"17","28","5","0","0","0","33"
"18 - 19","374","99","2","2","0","477"
"20 - 29","5,452","2,069","53","27","2","7,603"
"30 - 39","4,698","1,988","61","16","2","6,765"
"40 - 49","2,777","1,652","30","9","1","4,469"
"50 - 59","1,342","826","17","4","0","2,189"
"60 - 69","260","240","4","3","0","507"
"70 - 79","35","55","1","0","0","91"
"80+","7","6","0","0","0","13"
"Verification Pending","1","0","0","0","0","1"
"TOTAL","14,986","6,942","168","61","5","22,162"
