"OFFENSES","MALE","FEMALE","TOTAL","%"
"Burglary","2,994","181","3,175","13.06"
"Homicide/Manslaughter","2,513","225","2,738","11.26"
"Property","2,825","613","3,438","14.14"
"Possession of Drugs","3,446","465","3,911","16.09"
"Robbery","2,932","121","3,053","12.56"
"Sale of Drugs","2,785","309","3,094","12.73"
"Sex Offense","2,649","42","2,691","11.07"
"Violent","2,018","196","2,214","9.11"
"TOTAL","22,162","2,152","24,314","100.00"
