"MALE","","","","",""
"OFFENSES","BLACK","","WHITE  HISPANIC","OTHER","TOTAL"
"Burglary","1,933","1,036","16","9","2,994"
"Homicide/Manslaughter","1,877","613","18","5","2,513"
"Property","1,551","1,242","19","13","2,825"
"Possession of Drugs","1,977","1,408","50","11","3,446"
"Robbery","2,536","382","8","6","2,932"
"Sale of Drugs","2,355","416","7","7","2,785"
"Sex Offense","1,355","1,254","32","8","2,649"
"Violent","1,402","591","18","7","2,018"
"TOTAL","14,986","6,942","168","66","22,162"
