"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","12156","63.54%","604","35.95%","12761","60.27%"
"White","6693","34.98%","1055","62.80%","7748","36.60%"
"Hispanic","200","1.05%","13",".77%","213","1.01%"
"Native American","27",".14%","5",".30%","32",".15%"
"Asian","46",".24%","2",".12%","48",".23%"
"unknown","10",".05%","1",".06%","11",".05%"
"TOTAL","19132","100.00%","1680","100.00%","21172","100.00%"
