"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","15274","67.14%","907","40.56%","16181","64.77%"
"White","7192","31.62%","1307","58.45%","8499","34.02%"
"Hispanic","208",".91%","13",".58%","221",".88%"
"Native American","28",".12%","5",".22%","33",".13%"
"Asian","34",".15%","3",".13%","37",".15%"
"Data Unavailable","12",".05%","1",".04%","13",".05%"
"TOTAL","22748","100.00%","2236","100.00%","24984","100.00%"
