"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","12358","64.01%","631","36.18%","12989","61.71%"
"White","6662","34.51%","1088","62.39%","7750","36.82%"
"Hispanic","200","1.04%","14",".80%","214","1.02%"
"Native American","27",".14%","6",".34%","33",".16%"
"Asian","47",".24%","4",".23%","51",".24%"
"Data Unavailable","11",".06%","1",".06%","12",".06%"
"TOTAL","19305","100.00%","1744","100.00%","21049","100.00%"
