"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","15437","67.19%","923","41.02%","16360","64.86%"
"White","7253","31.57%","1,303","57.91%","8556","33.92%"
"Hispanic","208",".91%","14",".62%","222",".88%"
"Native American","29",".13%","5",".22%","34",".13%"
"Asian","34",".15%","4",".18%","38",".15%"
"Data Unavailable","14",".06%","1",".04%","15",".06%"
"TOTAL","22975","100.00%","2250","100.00%","25225","100.00%"
