"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","16224","69.01%","1270","49.71%","17494","67.12%"
"White","6975","29.67%","1260","49.32%","8235","31.60%"
"Hispanic","228","0.97%","13","0.51%","241","0.92%"
"Native American","19","0.08%","3","0.12%","22","0.08%"
"Asian","41","0.17%","5","0.20%","46","0.18%"
"unknown","21","0.09%","4","0.16%","25","0.10%"
"TOTAL","23508","100.00%","2555","100.00%","26063","100.00%"
