"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","12448","64.39%","596","35.39%","13044","62.07%"
"White","6598","34.13%","1061","63.00%","7659","36.45%"
"Hispanic","195","1.01%","18","1.07%","213","1.01%"
"Native American","29",".15%","4",".24%","33",".16%"
"Asian","55",".28%","3",".18%","58",".28%"
"Data Unavailable","6",".03%","2",".12%","8",".04%"
"TOTAL","19331","100.00%","1684","100.00%","21015","100.00%"
