"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","15643","68.62%","1200","49.42%","16843","66.78%"
"White","6870","30.14%","1201","49.46%","8071","32.00%"
"Hispanic","200","0.88%","15","0.62%","215","0.85%"
"Native American","22","0.10%","5","0.21%","27","0.11%"
"Asian","39","0.17%","5","0.21%","44","0.17%"
"unknown","21","0.09%","2","0.08%","23","0.09%"
"TOTAL","22795","100.00%","2428","100.00%","25223","100.00%"
