"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","15266","68.16%","1035","46.06%","16301","66.14%"
"White","6853","30.60%","1188","52.87%","8041","32.63%"
"Hispanic","214","0.96%","15","0.67%","229","0.93%"
"Native American","24","0.11%","6","0.27%","30","0.12%"
"Asian","30","0.13%","2","0.09%","32","0.13%"
"unknown","11","0.05%","1","0.04%","12","0.05%"
"TOTAL","22398","100.00%","2247","100.00%","24645","100.00%"
