"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","12321","64.13%","614","35.61%","12935","61.78%"
"White","6610","34.40%","1085","62.94%","7695","36.75%"
"Hispanic","203","1.06%","13",".75%","216","1.03%"
"Native American","26",".14%","5",".29%","31",".15%"
"Asian","43",".22%","4",".23%","47",".22%"
"Data Unavailable","11",".06%","3",".17%","14",".07%"
"TOTAL","19214","100.00%","1724","100.00%","20938","100.00%"
