"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","15092","67.99%","1007","45.28%","16099","65.93%"
"White","6829","30.77%","1189","53.46%","8018","32.83%"
"Hispanic","208",".94%","19",".85%","227",".93%"
"Native American","31",".14%","7",".31%","38",".16%"
"Asian","27",".12%","2",".09%","29",".12%"
"unknown","9",".04%","0",".00%","9",".04%"
"TOTAL","22196","100.00%","2224","100.00%","24420","100.00%"
