"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","12777","65.59%","663","39.16%","13440","63.48%"
"White","6422","32.97%","1001","59.13%","7423","35.06%"
"Hispanic","192",".99%","22","1.30%","214","1.01%"
"Native American","30",".15%","4",".24%","34",".16%"
"Asian","51",".26%","2",".12%","53",".25%"
"Data Unavailable","8",".04%","1",".06%","9",".04%"
"TOTAL","19480","100.00%","1693","100.00%","21173","100.00%"
