"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","16099","67.09%","1008","42.25%","17107","64.85%"
"White","7599","31.67%","1355","56.79%","8954","33.94%"
"Hispanic","214",".89%","12",".50%","226",".86%"
"Native American","25",".10%","7",".29%","32",".12%"
"Asian","48",".20%","2",".08%","50",".19%"
"unknown","10",".04%","2",".08%","10",".04%"
"TOTAL","23995","100.00%","2386","100.00%","26379","100.00%"
