"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","12376","63.90%","618","35.70%","12994","61.59%"
"White","6700","34.59%","1087","62.80%","7787","36.91%"
"Hispanic","202","1.04%","14",".81%","216","1.02%"
"Native American","28",".14%","6",".35%","34",".16%"
"Asian","53",".27%","4",".23%","57",".27%"
"Data Unavailable","8",".04%","2",".12%","10",".05%"
"TOTAL","19367","100.00%","1731","100.00%","21098","100.00%"
