"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","13965","67.57%","722","43.00%","14687","65.73%"
"White","6475","31.33%","946","56.34%","7421","33.21%"
"Hispanic","159",".77%","7",".42%","166",".74%"
"Native American","19",".09%","4",".24%","23",".10%"
"Asian","43",".21%","0",".00%","43",".19%"
"Data Unavailable","5",".02%","0",".00%","5",".02%"
"TOTAL","20666","100.00%","1,679","100.00%","22345","100.00%"
