"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","12,138","63.88%","597","37.31%","12,736","61.25%"
"White","6,576","34.61%","987","61.69%","7,563","36.37%"
"Hispanic","201","1.06%","7",".44%","208","1.00%"
"Native American","28",".15%","5",".31%","33",".16%"
"Asian","50",".26%","1",".06%","51",".25%"
"Data Unavailable","9",".05%","3",".19%","12",".06%"
"TOTAL","19,002","100.00%","1,600","100.00%","20,792","100.00%"
