"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","12,439","64.20%","605","35.46%","13,044","61.87%"
"White","6,653","34.34%","1,074","62.95%","7,727","36.65%"
"Hispanic","193","1.00%","18","1.06%","211","1.00%"
"Native American","29",".15%","4",".23%","33",".16%"
"Asian","55",".28%","3",".18%","58",".28%"
"Data Unavailable","7",".04%","2",".12%","9",".04%"
"TOTAL","19,376","100.00%","1,706","100.00%","21,082","100.00%"
