"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","12681","67.31%","708","41.04%","13389","65.11%"
"White","5886","31.24%","995","57.68%","6881","33.46%"
"Hispanic","190","1.01%","16",".93%","206","1.00%"
"Native American","27",".14%","",".23%","31",".15%"
"Asian","48",".25%","",".12%","50",".24%"
"Data Unavailable","8",".04%","0",".00%","8",".04%"
"TOTAL","18840","100.00%","1725","100.00%","20565","100.00%"
