"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","15352","68.23%","1064","46.83%","16416","66.27%"
"White","6861","30.49%","1184","52.11%","8045","32.47%"
"Hispanic","224","1.00%","16","0.70%","240","0.97%"
"Native American","22","0.10%","6","0.26%","28","0.11%"
"Asian","31","0.14%","1","0.04%","32","0.13%"
"unknown","11","0.05%","1","0.04%","12","0.05%"
"TOTAL","22501","100.00%","2272","100.00%","24773","100.00%"
