"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","14522","70.29%","1186","56.61%","15708","69.03%"
"White","5992","29.00%","890","42.48%","6882","30.25%"
"Hispanic","98","0.47%","10","0.48%","108","0.47%"
"Native American","25","0.12%","3","0.14%","28","0.12%"
"Asian","21","0.10%","6","0.29%","27","0.12%"
"unknown","1","0.00%","0","0.00%","1","0.00%"
"TOTAL","20659","100.00%","2095","100.00%","22754","100.00%"
