"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","13413","67.34%","816","42.54%","14229","65.17%"
"White","6227","31.26%","1072","55.89%","7299","33.43%"
"Hispanic","202","1.01%","21","1.09%","223","1.02%"
"Native American","24",".12%","5",".26%","29",".13%"
"Asian","44",".22%","3",".16%","47",".22%"
"Data Unavailable","7",".04%","1",".05%","8",".04%"
"TOTAL","19917","100.00%","1918","100.00%","21835","100.00%"
