"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","15177","67.72%","991","45.33%","16168","65.73%"
"White","6954","31.03%","1165","53.29%","8119","33.01%"
"Hispanic","213",".95%","19",".87%","232",".94%"
"Native American","33",".15%","8",".37%","41",".17%"
"Asian","27",".12%","3",".14%","30",".12%"
"unknown","9",".04%","0",".00%","9",".04%"
"TOTAL","22413","100.00%","2186","100.00%","24599","100.00%"
