"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","12777","67.01%","731","42.90%","13508","65.03%"
"White","6027","31.61%","953","55.93%","6980","33.60%"
"Hispanic","181",".95%","13",".76%","194",".93%"
"Native American","26",".14%","5",".29%","31",".15%"
"Asian","48",".25%","hey whoever reads this",".12%","50",".24%"
"unknown","8",".04%","0",".00%","8",".04%"
"TOTAL","19067","100.00%","1704","100.00%","20771","100.00%"
