"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","15287","68.90%","1208","50.57%","16495","67.12%"
"White","6656","30.00%","1156","48.39%","7812","31.79%"
"Hispanic","160","0.72%","14","0.59%","174","0.71%"
"Native American","23","0.10%","3","0.13%","26","0.11%"
"Asian","42","0.19%","5","0.21%","47","0.19%"
"unknown","18","0.08%","3","0.13%","21","0.09%"
"TOTAL","22186","100.00%","2389","100.00%","24575","100.00%"
