"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","14096","71.95%","1099","60.95%","15195","71.02%"
"White","5394","27.53%","687","38.10%","6081","28.42%"
"Hispanic","68","0.35%","7","0.39%","75","0.35%"
"Native American","18","0.09%","5","0.28%","23","0.11%"
"Asian","16","0.08%","5","0.28%","21","0.10%"
"Data Unavailable",".","0.00%",".","0.00%","1","0.00%"
"TOTAL","19592","100.00%","1803","100.00%","21396","100.00%"
