"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","15355","66.97%","899","41.64%","16254","64.79%"
"White","7252","31.63%","1233","57.11%","8485","33.82%"
"Hispanic","229","1.00%","17",".79%","246",".98%"
"Native American","38",".17%","7",".32%","45",".18%"
"Asian","48",".21%","1",".05%","49",".20%"
"Data Unavailable","7",".03%","2",".09%","9",".04%"
"TOTAL","22929","100.00%","2159","100.00%","25088","100.00%"
