"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","13548","68.30%","657","41.77%","14205","66.35%"
"White","6086","30.68%","902","57.34%","6988","32.64%"
"Hispanic","149",".75%","8",".51%","157",".73%"
"Native American","20",".10%","3",".19%","23",".11%"
"Asian","29",".15%","3",".19%","32",".15%"
"unknown","3",".02%","0",".00%","3",".01%"
"TOTAL","19835","100.00%","1573","100.00%","21408","100.00%"
