"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","12,293","64.28%","615","36.16%","12,908","61.98%"
"White","6,561","34.31%","1,061","62.38%","7,622","36.60%"
"Hispanic","196","1.02%","15",".88%","211","1.01%"
"Native American","26",".14%","4",".24%","30",".14%"
"Asian","40",".21%","4",".24%","44",".21%"
"Data Unavailable","8",".04%","2",".12%","10",".05%"
"TOTAL","19,124","100.00%","1,701","100.00%","20,825","100.00%"
