"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","13754","67.84%","680","41.77%","14434","65.91%"
"White","6311","31.13%","933","57.31%","7244","33.08%"
"Hispanic","157",".77%","11",".68%","168",".77%"
"Native American","16",".08%","2",".12%","18",".08%"
"Asian","29",".14%","2",".12%","31",".14%"
"unknown","6",".03%","0",".00%","6",".03%"
"TOTAL","20273","100.00%","1628","100.00%","21901","100.00%"
