race,male,percent_of_male_pop,female,percent_of_female_pop,count,percent_of_total
Black,13654,67.45%,828,42.92%,14482,65.32%
White,6309,31.17%,1073,55.62%,7382,33.29%
Hispanic,205,1.01%,20,.04%,225,1.01%
Native American,25,0.12%,5,0.26%,30,0.14%
Asian,43,0.21%,2,0.10%,45,0.20%
unknown,7,0.03%,1,0.05%,8,0.04%
TOTAL,20243,100.00%,1929,100.00%,22172,100.00%
