"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","13908","67.50%","718","42.87%","14626","65.65%"
"White","6468","31.39%","945","56.42%","7413","33.27%"
"Hispanic","164",".80%","7",".42%","171",".77%"
"Native American","20",".10%","4",".24%","24",".11%"
"Asian","40",".19%","0",".00%","40",".18%"
"Data Unavailable","5",".02%","1",".06%","6",".03%"
"TOTAL","20605","100.00%","1675","100.00%","22280","100.00%"
