"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","12228","64.67%","646","37.36%","12874","62.38%"
"White","6425","33.98%","1052","60.84%","7477","36.23%"
"Hispanic","186",".98%","16",".93%","202",".98%"
"Native American","25",".13%","4",".23%","29",".14%"
"Asian","45",".24%","2",".12%","47",".23%"
"Data Unavailable","0",".00%","9",".52%","9",".04%"
"TOTAL","18909","100.00%","1729","100.00%","20638","100.00%"
