"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","12948","65.71%","692","40.09%","13640","63.65%"
"White","6475","32.86%","1005","58.23%","7480","34.90%"
"Hispanic","193",".98%","22","1.27%","215","1.00%"
"Native American","32",".16%","5",".29%","37",".17%"
"Asian","50",".25%","1",".06%","51",".24%"
"unknown","6",".03%","1",".06%","7",".03%"
"TOTAL","19704","100.00%","1726","100.00%","21430","100.00%"
